ncode,narou_title,match_score,is_matched,annict_id,annict_title,watchers_count,satisfaction_rate,reviews_count,episodes_count,season_year,season_name,media,fetched_at
N2267BE,Ｒｅ：ゼロから始める異世界生活,0.0,False,,,,,,,,,,2026-06-23
N0287ME,スマホ転移で始める異世界ゆるゆる生活　～日本の商品が高値で売れたのでスローライフを目指すことにしました～,0.0,False,,,,,,,,,,2026-06-23
N9880MD,病弱な従妹はオレがいないとダメなんだ　　～単純な解決～,0.0,False,,,,,,,,,,2026-06-23
N4346MI,妹のためを思ってしていたことを虐待と言われ婚約破棄されました,0.0,False,,,,,,,,,,2026-06-23
N1775JU,鉱石研磨が趣味なおっさんは、異世界で石を磨きながらスローライフを楽しむ事を決意する,0.0,False,,,,,,,,,,2026-06-23
N0484MF,「そんな怖い顔をしなくても離婚なんて冗談だよ、冗談」と夫は言った。,0.0,False,,,,,,,,,,2026-06-23
N3431MG,「お姉さまだけが家族の肖像画にいらっしゃらないのね」と嬉しそうな妹が笑っていられるのは今のうちだけ。,0.0,False,,,,,,,,,,2026-06-23
N6566MF,【完結】10年愛した夫に『隠し子』がいたと知った夜、私は夫の実兄の種を宿した,0.0,False,,,,,,,,,,2026-06-23
N9921MD,いや、婚約者じゃなくて、婚約を決めた当主に文句を言えよ。,0.0,False,,,,,,,,,,2026-06-23
N0050MF,歴ヲタ令嬢の婚約破棄,0.0,False,,,,,,,,,,2026-06-23
N0335ME,捕らえた聖女の目が死んでたので正体隠して面倒見る,0.0,False,,,,,,,,,,2026-06-23
N8217MH,泥沼でこそ咲き誇る花もありましてよ。,0.0,False,,,,,,,,,,2026-06-23
N4413MF,妻には秘密にしてくださいね？,0.0,False,,,,,,,,,,2026-06-23
N5925MG,それは幼馴染を優先したからではなく,0.0,False,,,,,,,,,,2026-06-23
N2514MI,婚約破棄をされていますが、全体的にいろいろおかしい,0.0,False,,,,,,,,,,2026-06-23
N6568MH,婚約破棄の現場でスタンバイしている王弟だが、王太子の横にいる元平民の心の声が物理的に聞こえてくる,0.0,False,,,,,,,,,,2026-06-23
N4513MG,王立学院の推薦状を妹に譲れと言われました。では、入学資格の署名欄は白紙で提出いたします,0.0,False,,,,,,,,,,2026-06-23
N4817LW,転生特待生は、食い扶持をゲットしたい,0.0,False,,,,,,,,,,2026-06-23
N4670MG,「命がつきるまで君だけを愛する」と言われた次の日に愛人をつくられたので,0.0,False,,,,,,,,,,2026-06-23
N2449MH,実は身を引くつもりです。,0.0,False,,,,,,,,,,2026-06-23
N8562MF,【短編】悪役令嬢は努力を無駄にされたくない。,0.0,False,,,,,,,,,,2026-06-23
N6458MD,ハズレと笑われた『罠』スキルの俺、実は超激レアな最強スキルでした,0.0,False,,,,,,,,,,2026-06-23
N5582ME,病弱な幼馴染のご令嬢とどうかお幸せに,0.0,False,,,,,,,,,,2026-06-23
N3727MI,この時をお待ちしておりました,0.0,False,,,,,,,,,,2026-06-23
N0228MH,触れてはいけない過去がある,0.0,False,,,,,,,,,,2026-06-23
N5284MB,押す前から引いてどうする,0.0,False,,,,,,,,,,2026-06-23
N6650MI,理想の婚約者でした。でも私は、彼の周りにいる人たちを見て縁談を断りました,0.0,False,,,,,,,,,,2026-06-23
N1903MF,【完結】さようなら、私の愛した騎士様。二年間搾取された有能侍女は、冷徹次期侯爵の手を取り完璧な決別を選びます！,0.0,False,,,,,,,,,,2026-06-23
N1080MG,私の婚約破棄をおかんが赤飯で祝い始めた件,0.0,False,,,,,,,,,,2026-06-23
N0809MG,【長編連載開始】冴えない妹に転生したので,0.0,False,,,,,,,,,,2026-06-23
N9503MB,失うものは何もない,0.0,False,,,,,,,,,,2026-06-23
N9647MH,婚約破棄は承りましたが、そこの娘との婚姻は不可能です。,0.0,False,,,,,,,,,,2026-06-23
N3203MB,『イベント邪魔するな、このモブ！』と叫んだ自称ヒロインが勝手に自爆した件。眺めていただけの私が、なぜかメガネ兄令息とあざと弟令息に全力でロックオンされました,0.0,False,,,,,,,,,,2026-06-23
N7003MA,思い通りにはさせません,0.0,False,,,,,,,,,,2026-06-23
N9308MH,婚約破棄されたロザモンドと、悪役令嬢A・B・C,0.0,False,,,,,,,,,,2026-06-23
N6206MF,あら、殿下。陛下の堪忍袋の緒が切れましたわよ,0.0,False,,,,,,,,,,2026-06-23
N4400MG,待遇改善を求めるだけの理由がある〜聖女体験三日間は強制です,0.0,False,,,,,,,,,,2026-06-23
N5538MD,【短編】「もう遅い」のその前に～失わせ屋へようこそ～,0.0,False,,,,,,,,,,2026-06-23
N1280JN,契約妻、領地奪います,0.0,False,,,,,,,,,,2026-06-23
N7483MF,恋多き青年と、わたしの婚約,0.0,False,,,,,,,,,,2026-06-23
N4428MH,引きこもり令嬢の恋,0.0,False,,,,,,,,,,2026-06-23
N6196ME,心優しき王妃様はざまぁ展開を望まない,0.0,False,,,,,,,,,,2026-06-23
N1937MF,お肉が食べたい人生で、パンを糧にしています,0.0,False,,,,,,,,,,2026-06-23
N1155MC,魔力が強いやつがモテる世界に生まれ変わったのでモテる為にがんばります,0.0,False,,,,,,,,,,2026-06-23
N6114MG,キミを愛することはない！　ならば誰を愛するつもりなんですか？,0.0,False,,,,,,,,,,2026-06-23
N8741MH,公爵家の双子には手を出すな,0.0,False,,,,,,,,,,2026-06-23
N2963MG,階段キャーのシーンではあの行進曲が聞こえてくる,0.0,False,,,,,,,,,,2026-06-23
N0617ME,「昔の栄光にすがってんじゃねー」と婚約破棄した王太子、穏やかな公爵家をブチギレさせ人生終了,0.0,False,,,,,,,,,,2026-06-23
N9836MF,火刑に処された私はあの世からのんびり復讐します,0.0,False,,,,,,,,,,2026-06-23
N6311MH,「誠実」とは,0.0,False,,,,,,,,,,2026-06-23
N8395MF,ブラウン家の呪われた双子,0.0,False,,,,,,,,,,2026-06-23
N8290MC,神託少女は今日もテキトーを言う,0.0,False,,,,,,,,,,2026-06-23
N0850MF,【完結】君がいなくなって、ようやく恋だと知った     〜幼馴染を失った彼の後悔〜,0.0,False,,,,,,,,,,2026-06-23
N0803MG,本当の悪役って、どちらかしら,0.0,False,,,,,,,,,,2026-06-23
N1313MF,私の婚約者様との婚約を望む王女様に大事なお話があります,0.0,False,,,,,,,,,,2026-06-23
