ncode,title,author,genre,tags,is_anime,anime_id,monthly_rank_latest,bookmark_count_latest,updated_at,weekly_unique_latest,all_point_latest,all_hyoka_cnt_latest,episode_count_latest,story,impression_cnt_latest,review_cnt_latest,length,global_point_latest,daily_point_latest,weekly_point_latest,monthly_point_latest,general_lastup,novel_updated_at,biggenre,is_isekai_tensei,is_isekai_tenni,is_completed
N7270MP,王太子殿下、ずっとお側におりましたものね――公爵令嬢と王太子の長い時間,月白ふゆ,101,異世界恋愛 公爵令嬢 王太子 すれ違い 勘違い 両片思い 義務 責任 好意 婚姻 慣例 職務 王宮 お仕事女子 続編,False,,831,37,2026-08-31,0,1770,224,1,"オクタヴィアが王都を去って半年。

王太子アルフォンスのそばには、いつの間にかイヴェット公爵令嬢がいることが増えていた。

仕事を助け、体調を気遣い、舞踏会では一緒に踊る。

そんな日々の中で、アルフォンスは思う。

きっと彼女も、自分を好いているのだと。

けれどイヴェットには、少し違う見え方をしていた。

義務と責任と好意。

そして、結婚。

似ているようで少しずつ違うものを、2人がひとつずつ確かめていくお話。",1,0,9921,1844,12,390,1844,,,1,0,0,0
N7279MH,【8/29後日談追加】妹に不妊をあて擦られ続けたので、侯爵家の不正を告発しました【完結】,木風,101,ＢＷＫ大賞１ BK小説大賞2 ざまぁ 姉妹格差 不妊マウント 懐妊 因果応報,False,,164,441,2026-08-31,0,11874,1445,4,"妹に不妊をあて擦られ続けていた公爵夫人ヴィオレッタ。
「若いうちに産んだ方がいい」「子作りの相談に乗る」――侯爵夫人となった妹は、今日も笑顔で姉を刺してくる。
限界を迎えたヴィオレッタは、偶然見つけた侯爵家の不正融資を監察局へ告発した。
その結果、妹の家は信用を失い、宝石も別邸も名門幼年学院の推薦も失っていく。

8/28 日間総合1位感謝です。後日談追加しました！
8/29 日間総合1位感謝です。感想でリクエスト頂いたクラウス視点のお話を追加しました！",6,0,8304,12686,1236,12686,12686,,,1,0,0,0
N7298MQ,５か月間の保留。,風子,101,R15 貴族身分差婚 恋愛 思い違い,False,,517,174,2026-08-31,0,3190,355,13,"エグモント伯爵家の奥方、ユリアーネには長いこと夫にも言わなかった秘密がある。
長男坊は歌姫と恋に落ちて駆け落ちしてしまって、跡取りになった次男坊は飲み屋の女と恋に落ちてその女と結婚するつもりらしい。何度も見合いをさせようとしたが言うことを聞かない。なんで…うちの息子たちはこうなのよ？？？
いつもの退屈なお茶会でふと耳にした名前にぎょっとしたユリアーネは……。

【全治６か月】のスピンオフです。
",2,0,23214,3538,154,3370,3538,,,1,0,0,0
N7363MM,反転の巫女,紫乃月　聖巴,201,R15 残酷な描写あり ダーク バッドエンド 主人公が闇落ち 因果応報 自業自得 報復 後悔 もう遅い ファンタジー,False,,384,139,2026-08-31,0,5342,645,1,"百年に一度、国の運命を左右する「巫女」が生まれるハルゼバイト王国。
神託により選ばれた十二人の候補の中、ただ一人の平民の少女ヨミルは身分を理由に神殿からも貴族令嬢達からも冷遇され、長年にわたる陰湿ないじめに耐え続けていた。
ある日、公爵令嬢への毒殺未遂事件の濡れ衣を着せられたヨミルは、まともな弁明の機会すら与えられぬまま公開処刑を宣告される。
そして断頭の刃が振り下ろされようとした瞬間、ありえない事態がこの国に起こった。

※転載、翻訳禁止です。
",10,0,9956,5468,1698,5468,5468,,,2,0,0,0
N7407MP,銭将軍秀忠、金庫番からの成り上がり,エピファネス,303,残酷な描写あり 異世界転生 コミックルーム大賞 アイリスIF9大賞 ＥＳＮ大賞１１ なろうフェス2026 男主人公 和風 戦国 内政,False,,901,406,2026-08-31,0,840,92,26,"徳川家康の三男・長丸（後の秀忠）に転生した男は、死線を悟っていた。

優秀すぎた長兄・信康の自害――

「この家で目立てば死ぬ」。

生き残るための決意。それは、父・家康すら徹底的に油断させる【使いやすい金庫番】を演じることだった。

「妻に頭が上がらぬ気弱な男」

「戦は下手だが、金の計算だけは得意な凡愚」

世間や家臣どころか、秀吉や家康すらもその「律儀な二代目」の皮に騙されていた。

だが――彼らはまだ知らない。
　
男が現代の財務・流通・貨幣制度の知識を携えた『銭の人』であることを。

表ではヘコヘコ算盤を弾きながら、裏では堺の豪商を操り、兵糧と金銀の流通網を密かに掌握。
刀を抜く前に、全財産と補給線を絞り上げて敵を詰ませていく。

「合戦など愚者のすること。天下の財布は、すでに私の掌の上だ」

凡愚のフリした銭将軍が、銭の力で戦国時代を裏から買い叩く――！

凄絶なる裏・成り上がり英雄伝、開幕。",9,0,73301,1636,188,1474,1636,,,3,1,0,1
N7460MQ,武力には乙女心をぶつけよう！,もこもこハダカデバネズミ,201,男主人公 見合い,False,,197,355,2026-08-31,0,10404,1131,1,"三回目のお見合いを断られ、傷心のグレゴリーは、こういう時に限って容赦なく追撃してくる長男が不在なのを見計らい、明確に自分を慰めてくれるであろう弟夫婦を頼って、久しぶりに実家へ帰ったのであった。
そして、帰宅早々に四回目のお見合いが組まれた。相手は上司の娘で、自称・サバサバした性格の女性だった。",24,0,10138,11058,620,10876,11058,,,2,0,0,0
N7488MQ,壁ドンからの「お前はオレだけを見ていればいいんだ」と言われたので、殴りました。,あずきまんま,101,AI直接使用 女主人公 異世界恋愛 王女付き侍女 護衛騎士 勘違い男 粘着男 ざまぁ 辺境送り 壁ドン,False,,920,38,2026-08-31,0,1512,184,1,"王女付き侍女として仕えるリディアには、誰にも明かせないもう一つの顔がある。
彼女の正体は、王女直属の女性護衛騎士だった。

そんなリディアに、近衛騎士アルベルトが執拗に言い寄ってくる。
何度断っても「遠慮している」「強がっている」と都合よく解釈され、ついには文官セドリックと親しくしていることに嫉妬されてしまう。

そしてある日、アルベルトはリディアを壁際へ追い詰め、耳元で囁いた。

「お前はオレだけを見ていればいいんだ」

その瞬間、リディアの全身を悪寒が走る。
生理的に無理だった。

気づけば、反射的に拳が出ていた。

勘違いと粘着を続けた近衛騎士の末路と、仕事を通して自然に距離を縮めていく文官との関係を描く、異世界恋愛短編。",0,0,19694,1584,52,1536,1584,,,1,0,0,0
N7495IQ,【コミカライズ①8/27★電子書籍化】皇帝の隠し子は暴れん坊公爵令息の手綱を握る。,三月べに,101,R15 残酷な描写あり 異世界転生 魔法 隠された出生 冷遇 皇帝の隠し子 複雑な事情 才女な令嬢 暴君な公爵令息 ツンデレ 手なづける 溺愛 ざまぁ,False,,686,8557,2026-08-31,0,53586,5890,11,"【3/2 コミカライズスタート★→8/27①巻発売予定】
デビュタントが行われる王宮のパーティー会場で、赤いジュースを髪に浴びてしまった令嬢は、夜の庭園で拭う。ベージュ色の髪を夜空の月光色に変えて。
王宮の方に、こちらを見る同じ月光色の長髪の男性が見えて、慌てたが手遅れ。彼が来てしまった。同じ美しい月光の髪色を持つ男性を見上げて、拭い終わった髪をベージュ色に戻すと彼は息を呑んだ。カーテシーをして、無言を貫いた。
「(実の父親と会うなんて、赤ん坊の時以来か)」と冷静に思う令嬢。
彼は実の父親であり、この国の皇帝陛下なのだ。
しかし、事情が複雑。自分に興味を示す皇帝に、せめて皇妃と話せと言っておく。
事故で生まれた令嬢。引き取った母親の家族には冷遇されているが、魔法と頭の良さを活かして生き延びてきた。
唯一心を許せる身内は、一つ上の従兄のみ。そんな従兄が、学園の稽古場で暴君と悪名高い公爵令息に痛めつけられているところを目撃。飛び込んで、応戦。
「暴れ馬が。手綱で絞め殺してやろうか」「っ！」
皇帝の隠し子である転生者の令嬢と、ツンデレ暴君の公爵令息の話！
※※※日間異世界［恋愛］ランキング7位→5位(2024/02/28)
2位→★1位★(2024/02/29)ありがとうございます！
月間異世界［恋愛］ランキング6位(2024/03/30)※※※",0,0,41812,70698,438,2046,2364,,,1,1,0,0
N7538MP,冷笑する婚約者とは終わりにします,ミズメ,101,ほのぼの 女主人公 西洋 ハッピーエンド （笑） 特別な力 魔法のある世界 婚約破棄,False,,14,1064,2026-08-31,0,35586,4069,1,"役に立たない（笑）と嗤われ続けた令嬢は、ついに決意する。

「婚約破棄、ぜひよろしくお願いします！」


★2026.8.28 日間総合１位
 ありがとうございます……！！",29,0,12921,37598,2438,37598,37598,,,1,0,0,0
N7544MK,その足で希望溢るる未来を,九曜　蓮,201,異世界転生 婚約破棄,False,,993,28,2026-08-31,0,1928,229,1,"「イーディス！貴様との婚約は破棄する！」

　王城の格式高き夜会で突き付けられた突然の婚約破棄。
長年婚約者の心無い仕打ちに耐えていたイーディスはショックのあまり思い出す。
ここではない異世界で生きていた、一人の平凡な女性であった自分の記憶を……！

注：コメディです。なお少々暴力表現がありますのでご注意ください。
",5,0,4388,1984,0,80,1460,,,2,1,0,0
N7641MQ,王女殿下の為に「しばらく婚約者ではないふりをしてほしい」と言われましたので、本当に婚約者をやめることにしました,花柳響,101,アイリスIF9大賞 女主人公 西洋 ハッピーエンド 婚約解消 婚約者 伯爵令嬢 王女 すれ違い 自立 評価逆転 新しい恋 短編 元婚約者,False,,199,219,2026-08-31,0,10564,1340,1,"フォルスター伯爵令嬢エレナには、五年間連れ添った婚約者がいる。

アーヴィング侯爵家の嫡男レオナルト。
真面目で優秀で、エレナとの結婚も当然のように考えていた男だった。

そんな彼から、ある朝突然頼まれる。

「しばらく、人前では俺の婚約者ではないふりをしてほしい」

レオナルトに好意を寄せる第二王女が、エレナを見るたびに機嫌を損ねるからだという。

婚約をやめるわけではない。
ほんの少しの間だけ。

そして彼は、いつものように言った。

「君なら分かってくれると思った」

その言葉を聞いて、エレナはふと思い出す。

楽しみにしていた旅行がなくなったときも。
結婚式が延期になったときも。
夜会で一人帰ることになったときも。

事情はいつも違った。
けれど、最後に予定を変えるのはいつもエレナだった。

「分かりました」

そう答えると、レオナルトはほっとしたように笑った。

だからエレナは、その続きを口にした。

「では、婚約を解消しましょう」

婚約者を愛していなかったわけではない。
だからこそ、エレナは五年間ずっと譲ってきた。

けれど一度立ち止まってみると、今まで見えていなかったものが少しずつ見え始めて――。",12,0,9916,10854,2718,10854,10854,,,1,0,0,0
N7657BB,かわいいコックさん,霜水無,201,R15 残酷な描写あり 異世界転生 異世界 転生？ 憑依?? コメディー 勘違い もふもふ 話に重複部分有り R15は保険,False,,704,55103,2026-08-31,0,105408,10997,123,『花（オトコ）より団子（食い気）』で生きてきたアラサー女が気付いたら子供になって見知らぬ場所に!?己の記憶を振り返ったら衝撃（笑撃？）の出来事が。そしてやっぱり周りのイケメンよりも食い気に走る、そんな残念主人公の異世界生活開幕します。（初心者の初投稿作品ですので、気軽にサクッと読んで頂ければと思います。不定期、鈍足更新です）,622,44,493495,215614,218,2146,2288,,,2,1,0,1
N7708MP,案外、悪いことばかりではない,棗,101,R15 残酷な描写あり 魔族 聖女 魅了 性悪 開き直る,False,,102,548,2026-08-31,0,16026,1956,1,"婚約者に呼び出されたジュスティーナが見たのは、聖女の能力を持つ妹に愛を捧げる婚約者の姿。聖女は神への信仰を集める為に『魅了』の力が備わっており、誰からも愛される。婚約者なら妹に魅了されないと信じていたジュスティーナはもういない。
彼女の傍に聖女の『魅了』が通用しない存在がいるためだ。



",31,0,21001,17064,524,14678,17064,,,1,0,0,0
N7720ID,白い結婚、黒い悪妻 〜贅沢は素敵だ,雲丹屋,101,異世界転生 西洋 ハッピーエンド 中世(古代ローマ風) 英雄 白い結婚 純愛 推し活無双 本編はシリアス 感想欄が場外乱闘,False,,896,7071,2026-08-31,0,69132,7515,1,"若い頃、夢中になって読んだ長編ファンタジー小説の主人公の妻に転生した。主人公の妻なのに登場シーンのほとんどなく、ただ&quot;悪妻&quot;と噂される描写が少しある程度だった人物だ。
その小説は、メインキャラはほぼ全員男で、群雄割拠の乱世における英雄達の戦争と冒険の話だったため、硬派な主人公が各地の女になびかない言い訳のために作られたような設定の妻だったように思う。
案の定、我が英雄様は結婚式当日に出陣したまま、転戦を重ねて帰って来る気配すらない。

よし。だったらこの莫大な報奨と資産、私が全部、好きに使ってしまおう！
ーーー
あらすじを書いたときはコメディを書くつもりだったのに、少し路線が違ってしまいました。あらすじに嘘はありませんが、この作者にしては珍しくしっとりめ。(コメディタグがありません)
最後のオマケだけちょっとコメディ。
ーーー
※あとがき、感想欄の閲覧タイミングにご注意ください。ネタバレ、裏設定などが含まれています。先に見ないほうが、本文の雰囲気をお楽しみいただけます。(見てから2周目はアリ)
ーーー
投稿直後、異世界転生(恋愛)日間、週間1位、総合日間4位。
投稿一ヶ月で異世界転生(恋愛)月間および四半期1位、総合月間最高14位(短編5位)。
24/01/14朝集計でなぜか総合日間1位！？
投稿一年で異世界転生(恋愛)年間10位(短編1位)、総合年間65位(短編10位)
26/4/1時点で異世界転生/転移(恋愛)累計短編7位、総合累計短編45位
本当に望外のご愛顧いただいております。重ねて御礼申し上げます。

［カクヨムにも掲載あり］",83,2,12856,83274,106,1332,1644,,,1,1,0,0
N7768MQ,わたしを嫌ってくれて、ありがとうございます。,砂礫零,101,R15 婚約破棄/婚約解消 筆誅 ざまぁ/ザマァ,False,,457,103,2026-08-31,0,4104,501,1,"「おまえみたいな地味なガリ勉メガネが婚約者だなんて、願い下げだね！」
「あなたみたいなのが未来の夫人だなんて、ディルク様、本当におかわいそう！」
子爵令嬢サシャ・ツィーラーは今日も浮気者の婚約者ディルクと、浮気相手の令嬢イリーナから嘲られている。
政略であり、簡単には断れない婚約。
そのため、サシャはなにを言われても耐えるしかない……心が擦り切れて、なにも感じなくなるまで。
サシャの拠り所は、たった一冊のノートだけだった。
そんなサシャに転機がおとずれる。
「アレのおかげでクラスの雰囲気が悪くなるじゃない！　婚約者なら、注意なさいよ！」という理不尽ないちゃもんとともに。
その日から、サシャの静かな反撃が始まった――

すべて諦め、受け入れて我慢するだけだった令嬢が、自分の生きる道を見つけ、幸せを掴む話。恋愛薄め。

©️砂礫零
無断複写・転載を禁止します。
Unauthorized reproduction　prohibited.
版权所有。
복제 금지.
転載禁止",7,0,8782,4184,1282,4184,4184,,,1,0,0,0
N7911MQ,真実の愛ならば、どれほど良かったでしょう,六花,307,婚約破棄 微ざまぁ 脳筋,False,,594,45,2026-08-31,0,2840,348,1,今は王太子殿下と公爵令嬢が婚約破棄宣言してるでしょうがあ！,9,0,3601,2920,138,2920,2920,,,3,0,0,0
N7925ML,物語の幕は上がらない,わらびもち,101,異世界転生 女主人公 西洋 中世 ハッピーエンド ざまぁ 乙女ゲーム開始前,False,,483,1081,2026-08-31,0,1826,202,40,"突然、前世の記憶がよみがえり、混乱する中でクロエは気づいてしまった――ここは、かつて自分がプレイしていた乙女ゲームの世界だということに。
ゲームの中でクロエは病の床に伏しながら、25歳という若さであの世に旅立った。
愛しい娘を置いて。
そして――クロエがいなくなった屋敷に彼女の夫は新たな妻と、娘とほとんど変わらぬ年の子供を迎え入れる。その子供こそが『ヒロイン』だ。

平民のヒロインが貴族となり、王子様に見初められる物語。それは屋敷の主であるクロエが亡くなり、夫が実権を握り、愛人とその娘を屋敷に迎え入れることでようやく舞台が整うのだ。

そう、この物語はクロエの死によって幕が上がる。

だが、そう都合よく病気になるはずもなく、実は彼女の死は仕組まれたものだった。
彼女の夫、レオナルドによって。

冗談ではない。みすみす殺されてたまるものですか。
他人の恋物語の生贄になるなど御免だと、クロエは運命を回避するべく動き出すのだった。

※アルファポリス様でも公開しております",0,0,116859,3860,1660,3770,3860,,,1,1,0,1
N7931MD,婚約破棄の申請に役所に来たら王太子でも１時間待ち,間咲正樹,101,ギャグ ハッピーエンド 婚約破棄 ざまぁ ほのぼの/コメディー ライトノベル 異世界恋愛小説 エンターテイメント ショートショート 短編 ざまあ,False,,712,35,2026-08-31,0,2228,270,1,"「セレナ、今この時をもって、君との婚約を破棄する！」
「「「――！！」」」

　王城の中庭で開かれている、華やかなガーデンパーティーの最中。
　ニャッポリート王国王太子であるレックスが、婚約者のセレナに、唐突に婚約破棄を宣言した。
　セレナがその場で婚約破棄を受け入れたので、早速役所に向かうレックスたち。
　ニャッポリート王国では、婚約の各種申請も役所の仕事なのだ。



「これはこれはレックス殿下。本日はどういったご用件でしょうか？」

　役所に着くと、案内係の女性職員が声を掛けてきた。

「ああ、婚約破棄の申請に来たんだ」
「左様でございますか。では、こちらの番号札を持ってお待ちくださいませ」
「ハァ？　舐めてるのか貴様？　僕は王太子だぞ！　王太子の権限で、さっさと順番を回さんか！」
「いえ、殿下、大変恐縮ではございますが、王太子にそういった権限はございません。――受付の順番は、全国民平等なのでございます」


※他サイトにも転載してます。",15,1,4541,2258,310,2258,2258,,,1,0,0,0
N8107MP,二年後、あなたに仕返しを,はぐれパンダ,302,AI直接使用 女主人公 西洋 ハッピーエンド 白い結婚 元サヤなし,False,,928,41,2026-08-31,0,1496,175,1,"身分違いの恋人・カイルと別れ、子爵令嬢リディアが嫁いだ相手は、王国でも名高いヴァルター侯爵エドガーだった。
家への援助と引き換えの政略結婚。
しかも初夜に告げられたのは、
「お前を愛することはない。愛を求めるな」
という冷たい言葉だった。
夫は王都、妻は領地。
ほとんど顔を合わせることもないまま、リディアは侯爵夫人として領地を切り盛りし、夫の養子である四歳のアルノーの母代わりとなる。
可愛らしいアルノーとの生活は幸せだった。
時折帰ってくる夫から嫌味を言われることを除けば。
そんなある日、別れた恋人カイルから、貴族家の従者として働くことになったという手紙が届く。
そして結婚から二年。
このまま白い結婚を続ければ、三年後には離婚できる。
そうすれば、いつかカイルと――。
そんな未来を思い描き始めた矢先、エドガーが倒れたとの知らせが届く。
王都へ駆けつけたリディアを待っていたのは、死を目前にした夫の姿だった。
エドガーには、余命がほとんど残されていなかった。
しかも彼は、自分が死んだ後の侯爵家と幼いアルノーの未来を、すでに準備していた。
そして、そのために育ててきた人物として紹介されたのは――。
「……カイル？」
なぜ、別れた恋人が侯爵家の従者に？
なぜエドガーは二人を引き離したのか？
冷たい夫が隠していた、本当の想いとは。
これは、愛されないはずだった侯爵夫人と、余命二年の侯爵、そして幼い養子と元恋人。
四人が家族になっていく、短くて温かな二年間の物語。",1,0,9860,1566,394,1368,1566,,,3,0,0,0
N8154MM,前世の事を思い出した僕の発言で殿下たちが暗躍した,猫宮蒼,9999,異世界転生 ゆるふわ設定 闇バイト,False,,265,213,2026-08-31,0,8242,985,1,　前世の記憶を思い出した時、丁度頭の痛い事態に見舞われていた。前世にもあったなこんな感じのやつ、という事である意味軽率な発言をした結果、殿下たちは暗躍する羽目になった。,0,0,12711,8654,346,8654,8654,,,99,1,0,0
N8224MQ,鉛の盃,高瀬あずみ,101,R15 残酷な描写あり コミックルーム大賞 アイリスIF9大賞 ダーク 公爵令嬢 王子 幼馴染 毒,False,,147,320,2026-08-31,0,13616,1643,1,公爵家の娘ベランジェールは、王妃となるべく育てられた。王太子となったセレスタンと婚約し、二人して貴族の集う学園に入学してすぐ、セレスタンから「学園在学中は自由に恋愛させて欲しい」というようなことを言われる。父が承認するならと、ベランジェールは答え、父公爵も「若いものにはよくあること」と認めたために、ベランジェ―ルも許すしかなくなった。しかし翌日。セレスタンの相手である男爵令嬢が倒れて意識不明になったと聞かされる。お前のせいだと責められるベランジェール。しかし医師の診断は――。,30,0,5346,14200,578,14200,14200,,,1,0,0,0
N8264MQ,幼馴染に論文を譲れ？私が落第するのですが！？,リーシャ,101,女主人公 日常 ざまぁ 幼馴染 令嬢 貴族 婚約 モラハラ 冷遇,False,,249,214,2026-08-31,0,8954,1131,1,男兄弟みたいなものと言って、女の幼馴染の話ばかりする婚約者に対話を諦めつつあった。学園に入ると噂の幼馴染の女が常に婚約者に纏わりつき、見る度に確かに男兄弟の距離感で接している。彼女との距離について言えば「邪推するな」と鋭い目で注意を受けた。もういいとこちらも見ないようにしていれば卒業に必要な論文を、提出が危うい幼馴染に譲ってくれないかと信じられないことを提案される。手伝うから、賢いからと理由にならない横暴さ。無理だとはっきり言うが「うちに嫁に来るのだから卒業できなくても問題ない」と問題しかないことを言われてしまう。落第した場合、貴族令嬢、貴族夫人としてありえないと切り捨てられるのは私である。,2,0,7154,9294,1052,9294,9294,,,1,0,0,0
N8277MQ,無給メイドからドラゴンの観察係に出世しました！～なぜか王子に溺愛されちゃって！？～,みねバイヤーン（石投げ令嬢フルカラー電子コミック③巻発売）,101,ハッピーエンド お世話係 観察日記 ドラゴン 王子 家出 ざまあ 溺愛 呪い モフモフ お仕事,False,,837,62,2026-08-31,0,1694,195,1,"継母と異母姉に虐げられていたサーシャ。無給メイドとしてこき使われていたけど、大切なものを壊されて家出を決意。求人掲示板で見つけたのは、三食つきの住み込みな高給職だった。「希少動物の観察日誌を書けばいいの？　楽勝じゃん」。ところが、事態は思わぬ方向に転がって──。

（アルファポリス、カクヨム、エブリスタ、noteにも投稿）",2,0,14850,1818,54,1818,1818,,,1,0,0,0
N8306MQ,サバサバ女は偽サバを容赦しない　～婚約者の男友達みたいな人は、ほんとうに男（自称）だったらしいです～,マンムート,302,R15 残酷な描写あり ＥＳＮ大賞１１ なろうフェス2026 女主人公 ざまぁ 婚約破棄 自業自得 男友達みたいな 偽サバ 真サバ ハッピーエンド,False,,169,230,2026-08-31,0,11998,1397,1,"　子爵令嬢マグノリアは、未来に絶望しかけていた。

　最近、侯爵令息である婚約者は、いつも自称サバ女と一緒。

「固い事いうなよ。こいつは男友達みたいなものだからさ」

「やーね。友達関係に誤解して嫉妬するなんて、だから女っていやなのよね」

　ふたりはマグノリアの前で、これみよがしにベタベタいちゃいちゃ。

　ですが相手は侯爵令息、子爵家から婚約解消をさせては貰えません。

　そんなある日。

　いつものようにイチャイチャしてるふたりの前に、もうひとりのサバサバ女が出現。

　ここにサバ　ＶＳ　サバの仁義なき戦いがはじまる！
",7,0,7415,12382,2316,12382,12382,,,3,0,0,0
N8356MQ,聖女の晩餐,うぐいすもち,201,異世界転移 聖女 ざまぁ 婚約破棄,False,,459,62,2026-08-31,0,4116,508,1,"「この中に恥知らずの裏切り者がおります」

聖女の後任決定を祝う宴席の場で、老聖女ははっきりと宣言した。異世界より召喚された偽聖女カオル=キサラギは、皇太子に婚約破棄され、北の塔へ幽閉。真の聖女として邪竜を浄化した男爵令嬢ルチア=アーヴィングは、皇太子殿下との婚約も決まり、列席者より盛大に祝われていた。めでたい席で老聖女は何を告発しようと言うのか。「最後の晩餐」をモチーフにした、小さなざまぁ短編。
　",5,0,3140,4168,1310,4168,4168,,,2,0,1,0
N8429MQ,「可愛げがない」と婚約破棄されたので、「可愛げ」を捨ててとことんやり返すことにしました,八星　こはく,101,女主人公 異世界恋愛 婚約破棄 ざまぁ 元婚約者 因果応報 ハッピーエンド 伯爵令嬢 強い主人公 仕返し 復讐 婚約者,False,,221,163,2026-08-31,0,9928,1259,1,"　伯爵令嬢のクラリスはある日、「可愛げがない」という理由でセドリックから婚約を破棄された。
　そしてセドリックは、可愛い男爵令嬢・リネットとの婚約を発表した。

「可愛げがないから婚約破棄？　分かりましたわ。では、とことん可愛げなんて捨ててやりましょう」

　そう決意したクラリスが、とことんやり返すお話。",7,0,3568,10182,1028,10182,10182,,,1,0,0,0
N8552MQ,私も男妾を囲ってよろしいですか？,はぐれパンダ,302,シリアス 西洋,False,,194,304,2026-08-31,0,10766,1273,1,国王レオンハルトを庇い、凶刃に倒れた王妃エレノア。目覚めた彼女は、二十年以上務めてきた王妃の役目を終えたと、廃妃を願い出る。だが、妻の深い愛を失って初めてその価値に気づいたレオンハルトは、彼女を手放そうとしなかった。そこでエレノアは、王妃の座に留まる代わりに男妾を囲う条件を突きつける。離宮で彼女を待っていたのは、幼いころから秘めた想いを抱き続ける王弟ヴィクトルだった。愛されることを知らなかった王妃が、初めて自分のために生き始める一方、国王は取り戻せないものの大きさを思い知る。,10,0,8287,11268,2670,11268,11268,,,3,0,0,0
N8579LK,その後のドラゴリュー侯爵達,九曜　蓮,201,,False,,939,33,2026-08-31,0,2054,241,1,"　プライドが高く、竜人族でありながら【番】に忌避間のあったドラゴリュー侯爵。
意思に反して引き合わされた番を勢いのまま拒絶したその結果は……",6,0,5761,2120,2,102,1548,,,2,0,0,0
N8666MQ,真実の愛？では女神様の天罰がどちらに下るか確認いたしましょう。,衛星　奏志,101,ハッピーエンド 悪役令嬢 婚約破棄 ざまぁ 冤罪 濡れ衣 断罪 因果応報 義弟 年下 一話完結,False,,92,454,2026-08-31,0,17556,2102,1,"卒業パーティーの最中、王太子フェルディナンは婚約者であるアデライドに婚約破棄を告げました。理由は、男爵令嬢ミミーへの陰湿ないじめ。もちろん身に覚えなどありません。
けれどアデライドは慌てません。
「婚約破棄は承知しました。その上でこちらも王太子殿下の不義について言及いたしますわね」
証拠は? 調査は? 手順を一つずつ突きつけた上で、公爵家は後ろ盾から退くと宣言。
公爵家を継ぐ予定の義弟シビルは王太子の側近。
残された言葉はただ一つ。
「女神様の天罰が実際にどちらに下るのか、確認することですわね」
この国の女神は、愛を尊び、女性を蔑ろにすることを許しません。
真実の愛を掲げた王太子と、彼に倣った側近達。彼らに下された罰とは——。
全1話・完結　アルファポリスにも掲載。",8,0,4787,18332,2132,18332,18332,,,1,0,0,0
N8720MQ,「言葉で百万回説明するより網膜に焼き付けた方が早いですわ」と現実をわからせたら、魔獣愛護同盟が悔い改めたようです,ろいちこ,307,R15 女主人公 西洋 学園 日常 強め主人公 わからせ コメディ ざまぁのその先へ 魔獣という呼び名の熊 魔獣愛護同盟 理想論 異世界 ほんのりラブコメ お気持ち表明,False,,911,44,2026-08-31,0,1530,182,1,"　これは王立学園、風紀委員長のリディアのお話。

「魔獣を殺すのは野蛮ですわ！」
　魔獣を愛し人間との共存を訴える『魔獣愛護同盟』。

　魔獣が出る領地を持つ侯爵令嬢クラリスから相談を受けた風紀委員長のリディアは、彼らと公開討論会を開くことにした。
　言葉だけでは伝わらないなら、実物を見せればいいーー。

　脳内お花畑な学生たちに現実をわからせる、ちょっと物騒な学園コメディ。",2,0,6753,1608,406,1608,1608,,,3,0,0,0
N8780MP,クビになった錬金術師のおっさん、回復薬をネット販売したらエリクサー扱いされました～初心者冒険者を救っていたら、俺をクビにした大手製薬会社が後悔し始めた～,あずーる,202,ダンジョン おっさん主人公 錬金術師 無自覚 追放 ざまぁ 曇らせ 勘違い,False,,709,632,2026-08-31,0,1022,118,32,"　ダンジョンが出現した日本・東京都。45歳の錬金術師、佐伯修一は、大手製薬会社で冒険者向けの薬を作っていた。
　初心者でも買える安価な回復薬を作り続けてきた修一だが、「利益にならない」と会社をクビになってしまう。
　そんな日に、金がなく回復薬を買えなかった初心者冒険者の死亡事故を見る。「薬が高いから死ぬなんて、おかしいだろ」――修一は自分の薬をネット販売することに。
　一瓶100円。本人はただの薬草水のつもりだったが、購入者から「瀕死から全回復した」「これ、エリクサーじゃないの？」と驚きの声が殺到。口コミは広がり、やがて修一の薬は冒険者たちの必需品になっていく。
　一方、修一を切り捨てた大手製薬会社は、売上の急減に直面していた。

　クビになったおっさん錬金術師は、今日も知らず知らずのうちに冒険者を救っていく。
「薬が足りない？　じゃあ、もう一本送っとくか」
　本人だけが自分の作る薬が「エリクサー」と呼ばれていることを知らないまま――。",42,0,103217,2266,296,2046,2266,,,2,0,0,1
N8870MO,幼馴染のせいで女嫌いになった俺が、大の男嫌いで有名なクラスの美少女となぜか仲良くなる話。,遥遥か,102,R15 コミックルーム大賞 ＥＳＮ大賞１１ 男主人公 ハッピーエンド 青春 ざまあ 純愛,False,,967,404,2026-08-31,0,690,77,11,"「ごめんね海晴」そうやって笑みを浮かべるあいつの表情は、今まで見てきた中で一番幸せそうだった。


感想書いてくれると嬉しいです！！",8,0,16450,1498,24,252,1498,,,1,0,0,1
