ncode,narou_title,is_book,amazon_asin_vol1,amazon_url_vol1,amazon_title_vol1,amazon_rating,amazon_review_count,match_score,checked_at
N7421IU,【5/1書籍③発売】異世界で、夫の愛は重いけど可愛い子どもをほのぼの楽しく育てたい,True,4803023476,https://www.amazon.co.jp/dp/4803023476,異世界で、夫の愛は重いけど可愛い子どもをほのぼの楽しく育てたい ~悪役王女、幸せルート目指します~ (1) (アース・スター コミックス),,,0.5636,2026-06-23
N6802LI,公爵令嬢クラリスの矜持,False,,,,,,0.0,2026-06-23
N5308MF,真実の愛（笑）の行方について,False,,,,,,0.0,2026-06-23
N5640LK,「君を愛する事はない」と言われましたが王命なのでお互い様です。,False,,,,,,0.0,2026-06-23
N8273HJ,没落伯爵令嬢は家族を養いたい,True,B0GPS4HFVY,https://www.amazon.co.jp/dp/B0GPS4HFVY,没落伯爵令嬢は家族を養いたい　短編集 (Celicaノベルス),,,0.6222,2026-06-23
N1446KQ,卒業式の断罪　ただし婚約破棄にあらず,False,,,,,,0.0,2026-06-23
N1422MC,完璧超人な婚約者が僕を好き過ぎる,False,,,,,,0.0,2026-06-23
N1445MC,無断婚約破棄の罰則は王位継承権剥奪の上平民落ち、断種、鉱山送りを希望します,False,,,,,,0.0,2026-06-23
N5090FY,【本編完結済】２度目の異世界は周到に,False,,,,,,0.0,2026-06-23
N4660FN,狂乱令嬢ニア・リストン,False,,,,,,0.0,2026-06-23
N6203JF,【書籍化】死にたがりの王女【コミカライズ進行中】,False,,,,,,0.0,2026-06-23
N1454HS,不遇皇子は天才錬金術師～皇帝なんて柄じゃないので弟妹を可愛がりたい～,True,B0BZS283RQ,https://www.amazon.co.jp/dp/B0BZS283RQ,不遇皇子は天才錬金術師～皇帝なんて柄じゃないので弟妹を可愛がりたい～【電子書籍限定書き下ろしSS付き】,,,0.8,2026-06-23
N9980LU,【連載版】愛してると言われても、頭上の数値は『殺意MAX』ですが？,False,,,,,,0.0,2026-06-23
N2586IZ,【ＷＥＢ版】幸運の初期値が異常に高かった高校生が、缶詰ガチャで手に入れたスキルを使って現代ダンジョンで最強になる物語【ＬＦ年間1位】,False,,,,,,0.0,2026-06-23
N4069JG,左遷錬金術師の辺境暮らし　～元エリートは二度目の人生も失敗したので辺境でのんびりとやり直すことにしました～ ,True,B0F61J7JKX,https://www.amazon.co.jp/dp/B0F61J7JKX,左遷錬金術師の辺境暮らし　元エリートは二度目の人生も失敗したので辺境でのんびりとやり直すことにしました (カドカワBOOKS),,,0.8889,2026-06-23
N4540ME,その元奥様、犯罪者ではありませんこと？,False,,,,,,0.0,2026-06-23
N9629EX,最弱テイマーはゴミ拾いの旅を始めました。,True,B09Z1TJ9NG,https://www.amazon.co.jp/dp/B09Z1TJ9NG,【TOジュニア文庫】最弱テイマーはゴミ拾いの旅を始めました。1,,,0.7843,2026-06-23
N7624ME,凡人騎士の俺を追い出そうとした騎士団が、最強の女騎士にボイコットされて崩壊しかけた話,False,,,,,,0.0,2026-06-23
N2742LM,愛せる要素が、殿下にありまして？,False,,,,,,0.0,2026-06-23
N5580ME,時計塔の鐘が鳴る,False,,,,,,0.0,2026-06-23
N1203KS,残念と呼ばれた王女が幸せをつかむまで,False,,,,,,0.0,2026-06-23
N2064GU,大商家の愛娘（幼女）ですが、毎日元気いっぱいに暮らしていたら攻略対象の過去トラウマを一掃しちゃってたみたいです【コミカライズ１巻発売中！】,True,B0CYZKXRX9,https://www.amazon.co.jp/dp/B0CYZKXRX9,大商家の愛娘（幼女）ですが、毎日元気いっぱいに暮らしていたら攻略対象の過去トラウマを一掃しちゃってたみたいです【電子版限定書き下ろしSS付】 (マッグガーデン・ノベルズ),,,0.7403,2026-06-23
N0182MI,君を愛することはないと言われた妻ですが、蚊に転生しました,False,,,,,,0.0,2026-06-23
N3130LR,私、曇りの聖女と呼ばれたけれど！　～転生悪女が授かったトンデモギフトの正体は何？～,False,,,,,,0.0,2026-06-23
N2357DN,薬の魔物の解雇理由,False,,,,,,0.0,2026-06-23
N9164ME,魔法使いですが、「魔法なし縛り」で薬師をめざして修行してみました,False,,,,,,0.0,2026-06-23
N5894MI,憎っくき黒き悪魔が『馴れ初め』なんて誰にも言えない,False,,,,,,0.0,2026-06-23
N6774EH,元・世界１位のサブキャラ育成日記 ～廃プレイヤー、異世界を攻略中！～,True,B07XPSYC2N,https://www.amazon.co.jp/dp/B07XPSYC2N,元・世界１位のサブキャラ育成日記　～廃プレイヤー、異世界を攻略中！～　（１） (角川コミックス・エース),,,0.7674,2026-06-23
N5135LZ,真実の愛の裏側,False,,,,,,0.0,2026-06-23
N5432IE,聖女の加護を双子の妹に奪われたので旅に出ます,True,B0CW1GXBN3,https://www.amazon.co.jp/dp/B0CW1GXBN3,聖女の加護を双子の妹に奪われたので旅に出ます　1 【電子書店共通特典SS付】 (アース・スター ルナ),,,0.6027,2026-06-23
N8085HG,短編「モブ令嬢に転生して魔法学園に入ったけど、なんか色々混ざってる」,False,,,,,,0.0,2026-06-23
N7308HE,手札が多めのビクトリア１〜元工作員は人生をやり直し中〜【書籍化・コミカライズ・アニメ化】,False,,,,,,0.0,2026-06-23
N3845HM,生まれ変わった女騎士は、せっかくなので前世の国に滞在してみた～縁のある人たちとの再会を懐かしんでいたら、最後に元ご主人様に捕まりました【電子書籍配信中】,False,,,,,,0.0,2026-06-23
N6981GN,【web版】ブチ切れ令嬢は報復を誓いました。〜魔導書の力で祖国を叩き潰します〜,False,,,,,,0.0,2026-06-23
N2996ME,【連載版】婚約破棄された公爵令嬢が「どこにも行かず、ただ走らせて」と言ったので、辻馬車は夜の王都を走り続ける,False,,,,,,0.0,2026-06-23
N0833LK,魅力を捨てた悪役令嬢は、他の魅力で無双する②,False,,,,,,0.0,2026-06-23
N2503MH,史上最強勇者御一行様（パートのおばちゃん）,False,,,,,,0.0,2026-06-23
N3327ME,とっても幸せな王子,False,,,,,,0.0,2026-06-23
N9915KJ,最強付与士の無自覚ハーレム冒険譚　～仲間の顔も素性も知らないけどたぶん全員男だと思う～,True,B0H2F3C65D,https://www.amazon.co.jp/dp/B0H2F3C65D,最強付与士の無自覚ハーレム冒険譚　仲間の顔も素性も知らないけどたぶん全員男だと思う (ドラゴンノベルス),,,0.8632,2026-06-23
N2317MH,理不尽な婚約破棄に対して、聞かれていなければ何を言ってもいいよね？,False,,,,,,0.0,2026-06-23
N3247LD,【連載版】悪意しかない王命結婚、確かに承りました。,False,,,,,,0.0,2026-06-23
N4821KP,つるっぱげの末姫,False,,,,,,0.0,2026-06-23
N2750JS,【書籍化】婚約していないのに婚約破棄された私のその後,True,B0H2XPFB3Z,https://www.amazon.co.jp/dp/B0H2XPFB3Z,婚約していないのに婚約破棄された私のその後 1 (オルタンシア),,,0.7241,2026-06-23
N7361LZ,悪役顔令嬢の躾けた弟,False,,,,,,0.0,2026-06-23
