date,ncode,cumulative_view,daily_view,bookmark_count,monthly_rank,weekly_rank,weekly_unique,all_point,all_hyoka_cnt,episode_count
2026-06-19,N3164MA,53236.0,,0.0,212.0,,,38548.0,4120.0,48.0
2026-06-19,N7080MG,9706.0,,0.0,213.0,,,9418.0,1174.0,1.0
2026-06-19,N2062MI,11234.0,,0.0,214.0,,,10566.0,1261.0,1.0
2026-06-19,N5683MF,9638.0,,0.0,215.0,,,5238.0,596.0,52.0
2026-06-19,N4485MF,9588.0,,0.0,216.0,,,9144.0,1131.0,1.0
2026-06-19,N1073MI,10212.0,,0.0,217.0,,,9806.0,1161.0,1.0
2026-06-19,N5686ME,9530.0,,0.0,218.0,,,8952.0,1109.0,3.0
2026-06-19,N9631MG,9508.0,,0.0,219.0,,,9152.0,1139.0,1.0
2026-06-19,N6993MF,9654.0,,0.0,220.0,,,6502.0,718.0,25.0
2026-06-19,N3527MG,9510.0,,0.0,221.0,,,9252.0,1160.0,1.0
2026-06-19,N8333MF,9504.0,,0.0,222.0,,,8560.0,967.0,1.0
2026-06-19,N8066MG,9494.0,,0.0,223.0,,,9106.0,1102.0,1.0
2026-06-19,N7598MG,9492.0,,0.0,224.0,,,8984.0,1077.0,1.0
2026-06-19,N2459LP,9858.0,,0.0,225.0,,,9260.0,1104.0,2.0
2026-06-19,N7772MF,9432.0,,0.0,226.0,,,8596.0,954.0,2.0
2026-06-19,N2759MH,10484.0,,0.0,227.0,,,5460.0,607.0,15.0
2026-06-19,N7770MG,9358.0,,0.0,228.0,,,9034.0,1049.0,1.0
2026-06-19,N9165MF,9298.0,,0.0,229.0,,,8880.0,1085.0,1.0
2026-06-19,N7402MG,9232.0,,0.0,230.0,,,8850.0,1058.0,1.0
2026-06-19,N0054MI,9430.0,,0.0,231.0,,,9044.0,1176.0,1.0
2026-06-19,N5240MF,9050.0,,0.0,232.0,,,6554.0,750.0,24.0
2026-06-19,N1100MH,8984.0,,0.0,233.0,,,8610.0,1012.0,1.0
2026-06-19,N8885ME,11128.0,,0.0,234.0,,,10694.0,1323.0,1.0
2026-06-19,N1762LZ,14970.0,,0.0,235.0,,,14230.0,1613.0,1.0
2026-06-19,N0729MI,9184.0,,0.0,236.0,,,8814.0,1108.0,1.0
2026-06-19,N1268MI,8984.0,,0.0,237.0,,,8700.0,1044.0,1.0
2026-06-19,N2479MI,9448.0,,0.0,238.0,,,8998.0,1134.0,1.0
2026-06-19,N2950LY,8824.0,,0.0,239.0,,,8282.0,972.0,1.0
2026-06-19,N3849ME,51670.0,,0.0,240.0,,,47456.0,5562.0,1.0
2026-06-19,N5025MF,8652.0,,0.0,241.0,,,7998.0,927.0,1.0
2026-06-19,N0423MH,8584.0,,0.0,242.0,,,8200.0,999.0,1.0
2026-06-19,N6561MF,9482.0,,0.0,243.0,,,9184.0,1139.0,1.0
2026-06-19,N5703ME,8494.0,,0.0,244.0,,,7902.0,957.0,5.0
2026-06-19,N0855MG,8450.0,,0.0,245.0,,,8102.0,1003.0,1.0
2026-06-19,N3266MI,8756.0,,0.0,246.0,,,8458.0,1039.0,1.0
2026-06-19,N3273MF,8544.0,,0.0,247.0,,,8140.0,958.0,1.0
2026-06-19,N4953MD,8444.0,,0.0,248.0,,,8190.0,1045.0,1.0
2026-06-19,N5139MG,8360.0,,0.0,249.0,,,7966.0,979.0,1.0
2026-06-19,N5741MG,8338.0,,0.0,250.0,,,7888.0,979.0,1.0
2026-06-19,N9402MB,11380.0,,0.0,251.0,,,5114.0,574.0,55.0
2026-06-19,N1916MF,8266.0,,0.0,252.0,,,7604.0,940.0,4.0
2026-06-19,N9048MH,8300.0,,0.0,253.0,,,7724.0,853.0,1.0
2026-06-19,N0602LG,8168.0,,0.0,254.0,,,7512.0,891.0,1.0
2026-06-19,N4291MI,10136.0,,0.0,255.0,,,9572.0,1162.0,1.0
2026-06-19,N1839MB,8104.0,,0.0,256.0,,,7842.0,948.0,1.0
2026-06-19,N0428MF,8394.0,,0.0,257.0,,,4134.0,453.0,32.0
2026-06-19,N4709MF,8050.0,,0.0,258.0,,,7734.0,996.0,1.0
2026-06-19,N1967FY,47651.0,,0.0,259.0,,,27493.0,2974.0,219.0
2026-06-19,N4895MF,8008.0,,0.0,260.0,,,7540.0,871.0,1.0
2026-06-19,N1447ME,9548.0,,0.0,261.0,,,8892.0,1044.0,1.0
2026-06-19,N6127MH,7930.0,,0.0,262.0,,,7696.0,912.0,1.0
2026-06-19,N4838MI,10154.0,,0.0,263.0,,,9804.0,1208.0,1.0
2026-06-19,N7507MH,7940.0,,0.0,264.0,,,6550.0,751.0,35.0
2026-06-19,N3955LZ,13860.0,,0.0,265.0,,,7696.0,871.0,246.0
2026-06-19,N9882MG,7800.0,,0.0,267.0,,,7554.0,972.0,1.0
2026-06-19,N6136KP,7798.0,,0.0,268.0,,,7018.0,802.0,1.0
2026-06-19,N1485MI,7840.0,,0.0,269.0,,,7568.0,892.0,1.0
2026-06-19,N3935LU,7932.0,,0.0,270.0,,,5572.0,650.0,74.0
2026-06-19,N4111KN,19156.0,,0.0,271.0,,,17854.0,2068.0,1.0
2026-06-19,N4830BU,739399.0,,0.0,266.0,,,349869.0,35861.0,677.0
2026-06-19,N1683ME,7926.0,,0.0,272.0,,,6462.0,783.0,65.0
2026-06-19,N1605LE,10650.0,,0.0,273.0,,,6196.0,716.0,259.0
2026-06-19,N5003LM,7746.0,,0.0,274.0,,,7440.0,956.0,1.0
2026-06-19,N8754MC,7654.0,,0.0,275.0,,,7444.0,965.0,1.0
2026-06-19,N1711MG,7574.0,,0.0,276.0,,,7326.0,930.0,1.0
2026-06-19,N7886LZ,7540.0,,0.0,277.0,,,7344.0,927.0,1.0
2026-06-19,N2121ME,41032.0,,0.0,278.0,,,37370.0,4228.0,3.0
2026-06-19,N7957MD,9358.0,,0.0,279.0,,,9088.0,1061.0,1.0
2026-06-19,N0337MF,7380.0,,0.0,280.0,,,5862.0,700.0,7.0
2026-06-19,N8871MC,7348.0,,0.0,281.0,,,7164.0,914.0,1.0
2026-06-19,N1737MF,9760.0,,0.0,282.0,,,9454.0,1116.0,1.0
2026-06-19,N8076MB,17062.0,,0.0,283.0,,,14478.0,1758.0,11.0
2026-06-19,N7709MH,7198.0,,0.0,284.0,,,7024.0,860.0,1.0
2026-06-19,N9927MD,7866.0,,0.0,285.0,,,5400.0,631.0,68.0
2026-06-19,N9232JA,70296.0,,0.0,286.0,,,35214.0,3919.0,234.0
2026-06-19,N4894MD,7320.0,,0.0,287.0,,,6470.0,807.0,15.0
2026-06-19,N5288MG,7294.0,,0.0,288.0,,,3942.0,449.0,65.0
2026-06-19,N2364MF,7214.0,,0.0,289.0,,,6824.0,769.0,1.0
2026-06-19,N3154ME,7108.0,,0.0,290.0,,,6822.0,855.0,1.0
2026-06-19,N3732LZ,6992.0,,0.0,291.0,,,6746.0,787.0,1.0
2026-06-19,N9145MD,31692.0,,0.0,292.0,,,30056.0,3593.0,1.0
2026-06-19,N1483MI,7100.0,,0.0,293.0,,,6808.0,809.0,1.0
2026-06-19,N6323MG,6924.0,,0.0,294.0,,,6718.0,838.0,1.0
2026-06-19,N4395IL,504330.0,,0.0,295.0,,,308446.0,32567.0,592.0
2026-06-19,N1735MH,6912.0,,0.0,296.0,,,6466.0,774.0,1.0
2026-06-19,N9009MH,6856.0,,0.0,297.0,,,6566.0,847.0,1.0
2026-06-19,N4376MF,6814.0,,0.0,298.0,,,6004.0,778.0,10.0
2026-06-19,N6764LX,83486.0,,0.0,299.0,,,67906.0,7351.0,6.0
2026-06-19,N2231MF,6710.0,,0.0,300.0,,,6512.0,742.0,1.0
2026-06-19,N8904MH,6676.0,,0.0,301.0,,,6474.0,812.0,1.0
2026-06-19,N7658ME,18386.0,,0.0,302.0,,,17424.0,2079.0,1.0
2026-06-19,N7780JO,46338.0,,0.0,303.0,,,35780.0,4026.0,15.0
2026-06-19,N0960LY,11870.0,,0.0,304.0,,,5926.0,699.0,115.0
2026-06-19,N2683ME,8614.0,,0.0,305.0,,,8380.0,1021.0,1.0
2026-06-19,N3356MC,6604.0,,0.0,306.0,,,5578.0,650.0,31.0
2026-06-19,N6189KT,197722.0,,0.0,307.0,,,123168.0,13209.0,240.0
2026-06-19,N8105LF,11470.0,,0.0,308.0,,,8364.0,1037.0,14.0
2026-06-19,N2399MH,6506.0,,0.0,309.0,,,6274.0,779.0,1.0
2026-06-19,N6646MF,6446.0,,0.0,310.0,,,6260.0,813.0,1.0
2026-06-19,N4121LY,13046.0,,0.0,311.0,,,12298.0,1386.0,1.0
2026-06-19,N3620MI,6742.0,,0.0,312.0,,,6504.0,850.0,1.0
2026-06-19,N4671MG,6468.0,,0.0,313.0,,,6158.0,720.0,1.0
2026-06-19,N6052MI,7626.0,,0.0,314.0,,,7402.0,880.0,1.0
2026-06-19,N3244MI,6592.0,,0.0,315.0,,,6284.0,774.0,1.0
2026-06-19,N5839MG,6560.0,,0.0,316.0,,,4914.0,556.0,29.0
2026-06-19,N8537ME,25032.0,,0.0,317.0,,,23884.0,2871.0,1.0
2026-06-19,N9748LW,23256.0,,0.0,318.0,,,19786.0,2203.0,13.0
2026-06-19,N5808MF,6356.0,,0.0,319.0,,,5828.0,712.0,3.0
2026-06-19,N4951MD,23138.0,,0.0,320.0,,,13494.0,1557.0,52.0
